,biomarker,logistic_pval,coefficient,point_biserial
804,mtb_0533713,2.2128261939869625e-05,1.8968340427353791,0.1385516080737224
817,mtb_0543246,1.5728614944017392e-05,6.590584215163202,0.07411329650171476
818,mtb_0543258,0.0008111857334936922,3.403484931623647,0.07944389475327349
836,mtb_0561467,0.0019665981719899452,4.186994942228534,0.05991221760246176
852,mtb_0573060,0.003022668017889244,4.985923711488191,0.06718591053526092
855,mtb_0575384,0.0012971795351626298,-3.1649436897074317,-0.11836103603488672
865,mtb_0582314,3.9529066879933734e-05,3.397815802294847,0.0633937334229388
866,mtb_0583660,1.584287740142636e-05,5.178990032725931,0.06039226652571417
869,mtb_0584739,7.393531269962361e-06,5.61447818235636,0.19744673161097098
870,mtb_0584743,2.9370413574939286e-06,5.55605279057876,0.20329953510627444
872,mtb_0584850,8.035948830100149e-06,3.737328944635381,0.20516953815214914
877,mtb_0587971,0.0015538642829832734,22.67312282271817,0.10678300264474755
925,mtb_0614430,0.0010606200513609144,-2.452426338084737,-0.05250512946186447
982,mtb_0690120,0.000979327398444125,13.520532188219317,0.08838428078890163
1001,mtb_0699801,4.649115559935705e-06,4.227356775137087,0.09480171214341072
1007,mtb_0704947,0.0011827360529166136,-2.708759061646694,-0.06834614521841337
1011,mtb_0705295,0.0024192988981692446,-1.408806889030463,-0.06520635287326884
1023,mtb_0710158,0.0030374778477346206,3.358713706244269,0.052986998984316525
1029,mtb_0714376,0.0035611150682011866,-2.3308148486586058,-0.05350506317254721
1030,mtb_0714390,0.002826378108572668,-2.3014310603862342,-0.05343831848466192
1031,mtb_0715124,0.00032235656194917577,-3.861121423290951,-0.12353953125417907
1033,mtb_0716236,0.0015205914199129386,-3.371903526166032,-0.07594673826564323
1035,mtb_0722885,0.004648370666454698,2.2693294529594383,0.09900056301926287
1045,mtb_0733731,7.633174711136883e-08,3.2380291358879805,0.20873992848879896
1046,mtb_0733737,5.998462259386333e-05,1.7293018349721618,0.1702680735170608
1065,mtb_0744711,0.0008652050894570317,2.600978061493197,0.18219945174331445
1066,mtb_0745332,0.0007893716336044284,1.7726430634628434,0.1434824932220415
1081,mtb_0751340,5.6418033657203944e-05,-8.004467476152765,-0.16792382986204585
