,biomarker,anova_pval,point_biserial
1599,mtb_1051868,2.6554947116824326e-05,-0.10870353753661634
1606,mtb_1058397,0.00014098816412841936,-0.09964157557711563
1620,mtb_1068460,0.0016799433097176159,0.11583955533906173
1621,mtb_1068685,6.410085274001317e-07,-0.20970154066374763
1622,mtb_1068690,1.0064644205420242e-05,-0.15230659302682353
1633,mtb_1080830,0.0016419591888155898,0.11549033883997326
1635,mtb_1081772,0.0016863420283083819,0.12793796033837937
1646,mtb_1090534,0.0005145755127419225,0.10651838912217046
1664,mtb_1100477,1.5580674661124405e-05,0.1795595791541619
1678,mtb_1115805,0.0040737191660080285,-0.11142515104373224
1681,mtb_1119990,0.0005353210150857659,-0.1121089619064638
1717,mtb_1152585,8.335235820827139e-06,0.06554694420824038
1733,mtb_1162055,0.0003141402544806916,-0.07486388174316957
1735,mtb_1163757,0.0007977701069199792,-0.08385819331418667
1736,mtb_1164551,0.0021259389761456127,0.1798476411860586
1748,mtb_1170800,0.00031945745125850733,0.08450196046475633
1765,mtb_1180322,4.548022072148071e-07,-0.21838595694943314
1798,mtb_1199333,0.003146753820156839,0.13711325917460668
1804,mtb_1208529,0.0023496602899926717,0.10872973583440168
1823,mtb_1215192,0.00040846189843669976,0.11391012303648525
1848,mtb_1225994,0.0046728517630787465,0.1286281195139282
1870,mtb_1237153,4.869796316787871e-06,-0.08577218258726968
1871,mtb_1237155,4.0272191243362675e-06,-0.0874481373840454
1898,mtb_1253013,0.0009810092906676138,0.13989439759572747
1905,mtb_1257054,0.0007878187875488851,0.09892244289968773
1906,mtb_1257061,0.0004495556195615742,0.11518591153639036
1914,mtb_1261862,9.015075282145355e-05,0.11110409488309476
1917,mtb_1263035,0.004014609842516355,0.09310636747092897
1919,mtb_1263138,0.0016831037483291808,0.10627536511690369
1921,mtb_1263412,0.0007223709400043389,0.11090382469147837
1945,mtb_1274733,0.0005495053012155927,0.11481362547317488
1955,mtb_1279744,0.001960444865407858,0.06909519897592939
1993,mtb_1301711,0.0026932980552239988,0.15147385920507656
2004,mtb_1311918,7.373037716754313e-08,-0.2260532469776806
2008,mtb_1315225,0.004083257303269441,-0.05680090688089734
2020,mtb_1324610,0.0019488536887032177,-0.12661973717943384
2024,mtb_1327961,0.0033607368010871207,-0.08733554938027485
2028,mtb_1331056,0.00011988321868467703,0.11249231166342719
2034,mtb_1335936,0.0012781745181804714,-0.10003735230848403
2057,mtb_1349669,0.0001295897940135374,-0.0701501362222575
2061,mtb_1351373,0.0009552809611303028,-0.10575232640587034
2062,mtb_1351378,0.0007208618866934962,-0.10555492454974565
2069,mtb_1354844,0.000544813025386512,0.10180053559639597
2086,mtb_1363135,0.0022670030717609514,0.13550573915675712
2097,mtb_1370734,0.00038088288869096297,0.13029596853974867
2119,mtb_1384714,0.002537255363555705,0.10024426477912858
2124,mtb_1388777,0.0025047490387810766,-0.050601291818691455
2169,mtb_1407199,0.0002806631007285028,0.10415896492927072
2187,mtb_1419300,8.507882078117408e-05,0.08114367047620466
2204,mtb_1427668,4.2659388314778945e-05,0.1283186803243163
2214,mtb_1432816,0.0034124295933910774,0.07159341920509991
2270,mtb_1464579,0.00011239970045828325,0.09626572900568403
2271,mtb_1465252,2.1236386899728575e-06,-0.166048389218175
